day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper
25,1.2923036747212417,0.3845287252156791,3.092049241943937,0.938766108161149,0.9770809222592142,0.8990736110333103,1.0,1.3237550472372284,0.39597636185003177,3.1626580700527223
26,1.2413864568629902,0.37040822688797803,2.986762010965556,0.9304454620043426,0.9742662468723134,0.8885510362697862,1.0,1.2742808340247034,0.38391272574696483,3.026313533167932
27,1.5917143151342361,0.45804634993338933,3.916149944720791,0.9738730164577973,0.9733932277028464,0.8898974380487542,1.0,1.6374708344678865,0.46908486431618523,4.057132294536234
28,1.4834982215331889,0.40740798516740584,3.7229250795192352,0.9642877666123842,0.9702631535594494,0.8872941717438213,1.0,1.5301405497552345,0.4219657988778268,3.8278847463643633
29,1.7698201004440903,0.504161189340246,4.2143229362106815,0.9869542242662623,0.9685631718859201,0.8805879575531735,1.0,1.828349907747487,0.5266367453558559,4.350153812069225
30,2.0285455277428577,0.6497820340927133,4.619135812055688,0.9951394889258383,0.9658620457607137,0.880746384152699,1.0,2.103048921664127,0.6643985363836514,4.8344000950546056
31,1.8056500050826265,0.5518160959613766,4.2131933787289775,0.9922538673053726,0.9622759575979385,0.8792597488354782,1.0,1.877853113608775,0.5585210194725924,4.379818338163192
32,2.0088789562014933,0.6114079852531632,4.605902462744574,0.9964455290293746,0.9578977428299564,0.8670356438406629,1.0,2.0978091216955335,0.656794174324691,4.795707683274155
33,2.157684525480721,0.686940728636885,4.937163435957458,0.9980663732476556,0.956033227135345,0.8643023670451142,1.0,2.260474613658769,0.7149754049838425,5.218834526843061
34,1.8052616338127565,0.5738124307486898,4.207208131732112,0.996666510437531,0.9543871141017397,0.860652540269947,1.0,1.8930447945624416,0.603191075758815,4.371892485976935
35,1.8854964338490685,0.6766957135533567,4.0837998111744955,0.9983816717386242,0.9489533429325898,0.8598174105585088,1.0,1.9892012055295176,0.705602574745977,4.315575957558327
36,1.62366469648466,0.5416013614026096,3.5915159204065796,0.9961967442773272,0.9460577336293656,0.8507445768327528,1.0,1.7193219269426254,0.5785611570442781,3.7845085260180094
37,1.3949971606021618,0.4970020075275589,3.1036924224431885,0.993178608936934,0.9436464339885108,0.8506371359045528,1.0,1.4788776859073411,0.5281487731968314,3.2396608595649723
38,2.0528671038369493,0.7457866935647949,4.398985311082363,0.999652638602942,0.9436503973982965,0.8495296809785982,1.0,2.178041814052057,0.7995880167556227,4.6410207680797395
39,2.3328403873857977,0.9200690839867098,4.809963965759425,0.9999182040994001,0.9404311657847091,0.8493631126566613,1.0,2.4848103174543494,0.9901427331670618,5.067866577568554
40,2.198784847373592,0.8859322386654843,4.443427928752588,0.9999057617015628,0.9383822144884918,0.8441762222678126,1.0,2.345317675085641,0.9552847079739715,4.758448385234324
41,2.0976594435116716,0.8492612415003247,4.246624880732992,0.9999216096610088,0.9374576280023418,0.8375954278780533,1.0,2.2422291618081425,0.9120453789589348,4.532190957144826
42,1.992994794362343,0.7980433425683859,3.9950550161248892,0.9999486453601006,0.9380527055545981,0.845171005555359,0.9999999999999999,2.1281687627527845,0.8458431871601404,4.350574705025342
43,1.9152098725266078,0.7910596814055203,3.753380391406762,0.9999265816187163,0.9363424353944652,0.8403278570946635,1.0,2.048594746668582,0.8451453314224839,4.060444536376994
44,2.3668294595929122,0.9845909933881203,4.627318085820072,0.9999956021319986,0.9372146599387157,0.844510528542319,0.9999999999999999,2.530970301042127,1.0480507380540383,4.909815651468623
45,1.92305673975626,0.7883270442878485,3.8157758792810923,0.9999804126956944,0.93723378034436,0.8428617851174398,0.9999999999999999,2.0540654468236625,0.8397333932528462,4.063902443983491
46,1.7785699816233744,0.7196006433692212,3.5317537524850118,0.9999659139403007,0.9379622820514062,0.8448525231993325,1.0,1.899293398208156,0.7568283683360825,3.7660321409672606
47,1.6457993018220234,0.6888080236033487,3.1899303146272797,0.9999583823679189,0.940052102304437,0.8449860643880936,1.0,1.7542222992020315,0.7322034210961849,3.353959736188003
48,2.189608601758608,0.9576297004211966,4.229817720997671,0.9999991905811658,0.9419560919855735,0.8485155835285279,1.0,2.329973328749534,1.0218472302302333,4.503685280956489
49,2.3367276060164013,1.0055527664663728,4.389356003865654,0.9999997255319276,0.9441808210837304,0.850211824715779,1.0,2.478031732713918,1.0817967106956692,4.654975383083467
50,2.430911417495216,1.0756272753576743,4.582210241693651,0.9999999264967184,0.9468133345670255,0.8549639172421573,1.0,2.572204643859464,1.1343981909887693,4.903920559009493
51,2.224155493196735,1.0176816196072545,4.1757390010813005,0.999999913916793,0.950736087397935,0.8632514665277079,1.0,2.3423177051511472,1.0702779592952292,4.386076197898925
52,2.5017364766713985,1.1830981293694447,4.668691746980373,0.9999999784630437,0.9515020894916975,0.860790241049562,1.0,2.6351941319961965,1.2349847613969467,4.934857375394023
53,2.6551122626668167,1.2914500658660524,4.742400939584328,0.9999999984904976,0.9555238447058559,0.8624265820632564,1.0,2.7839366423709833,1.3604545281053881,5.063014294098274
54,3.6414013396039673,1.8703889334904706,6.299450146177105,0.9999999999999313,0.9603414159282333,0.872274542655493,1.0,3.7979499513035084,1.9431211768879255,6.588387671954253
55,3.5264691345584644,1.829339125143025,6.209120783400311,0.9999999999999908,0.9628512081896251,0.8770872021500631,1.0,3.667654305899071,1.8813263624747065,6.452290128350097
56,3.989910283360407,2.1200976095789725,6.747411366253743,1.0,0.9661565686009647,0.8817495847355278,1.0,4.136979248340391,2.158217167127955,7.031943488248333
57,3.488553647983314,1.7956517741107927,6.058177828082458,0.9999999999999243,0.9700118372027602,0.8873612300931373,1.0,3.599624082473364,1.856271516648334,6.250269817105907
58,2.9502370799612647,1.5006567924724201,5.147244401359839,0.9999999999999998,0.9718428068728054,0.887954160504975,1.0,3.0401703677292007,1.5484962764548953,5.325808765682744
59,2.657841921938674,1.3618142056982279,4.564916867749179,0.9999999999998949,0.9748692771350347,0.8918809022222913,1.0,2.7287120069570894,1.4033613473414634,4.673809636617149
60,2.6602234080957823,1.4381371644279133,4.5359781475221155,1.0,0.9766882207755092,0.893976665369494,1.0,2.7256922819561087,1.4740534711450806,4.5903851582314985
61,1.9174272920896729,1.0082727485540603,3.2960603777636552,0.9999999999999629,0.9772639423056062,0.896435454013733,1.0,1.964038745621736,1.0179206988730956,3.370858760641235
62,1.379229107186181,0.7174020489896046,2.379102166613969,0.9999999999952803,0.9795375829196241,0.9009393363390132,1.0,1.4089793029668862,0.7342035049626529,2.4220485456778356
63,1.642493695884882,0.867822255204001,2.7955670046784795,0.9999999999997286,0.9804964016738298,0.900191027410618,1.0,1.6763766016140749,0.8831278425639667,2.849141132316774
64,1.2551205766059974,0.6501242806318199,2.175236959150929,0.999999999994845,0.9811693373020168,0.9067977603035773,1.0,1.2806500186817789,0.6566949268196748,2.211518969773827
65,1.1432212126498746,0.5853369613111945,1.9958965933124682,0.9999999996774419,0.9814704686223336,0.9045873947755698,1.0,1.1659650401933457,0.5965357145466111,2.032327286379908
66,0.9320989232814756,0.49707274468204493,1.5951715767279477,0.9999999914574124,0.980622084972526,0.9005527440899612,1.0,0.9511588951115293,0.5018377101933421,1.6181446470659513
67,1.258759784054153,0.6502801317853656,2.157182744116506,0.9999999998796429,0.9805488525542458,0.9043823715152612,1.0,1.28497042951704,0.6559626004352618,2.218713835559265
68,1.4066381526418066,0.7632655649013584,2.38413221395072,0.9999999999949899,0.9791528178612441,0.896995894750496,1.0,1.4374564767297602,0.7773136305043464,2.4221756000073014
69,1.497479784125946,0.8087420137075113,2.505802365659613,0.9999999998709427,0.9777624539885376,0.8949200577425721,1.0,1.5332679944240826,0.8246415972433292,2.5717285082324093
70,1.4942779346860864,0.7918058908104506,2.5123148553624617,0.9999999995086989,0.9736347372792439,0.8878071262027402,1.0,1.5358022503767534,0.8202504812901918,2.5917067455113836
71,1.6630438065791129,0.9042782058796196,2.7954367644282367,0.9999999999995854,0.9710068802344406,0.8855062723770666,1.0,1.714290370095162,0.9388007778625866,2.9096596901994585
72,2.028283748798219,1.1296011272294015,3.3152991213101313,1.0,0.9650786180464538,0.8738182402420959,1.0,2.1042741306349684,1.1781158785768775,3.4580363524641218
73,2.2318543764406304,1.2592901745078513,3.6011436154331737,1.0,0.9568671208066506,0.8666638537302433,1.0,2.335940534949039,1.3223907120338927,3.809486960792578
74,1.894700836479654,1.054906714371207,3.161460507761072,1.0,0.9463958730282543,0.8514966919333118,1.0,2.0051182895922235,1.0949124365816585,3.3573055554793645
75,2.0969826113860406,1.1559386086840344,3.4999494637958213,1.0,0.9348673458418786,0.8372261633487572,0.9999999999999997,2.2469055684363255,1.2297311672893343,3.7499294989196685
76,1.383861378825587,0.746974503216093,2.3213019024203776,1.0,0.9154971280767505,0.8198444184787202,0.9999999997642217,1.5140344782222086,0.8162643244316853,2.5331046777533417
77,1.891340257120422,1.0713850097048951,3.110913316285615,1.0,0.9011728978568357,0.8019533263201932,0.9970880787649463,2.1033433070050505,1.1823810816022138,3.4802073494458337
78,1.8180248741885687,1.0307711693790558,2.9715553805911763,1.0,0.8813886259993089,0.7820440919365607,0.9803679030122472,2.068017875791158,1.1516399596559368,3.3872945943423405
79,1.325192968662891,0.7296065269181307,2.167629099557493,0.999999999999998,0.8559119044010948,0.7549829871396668,0.9551366614293767,1.5523583686791897,0.840389718664485,2.5658687936849818
80,1.011747044955907,0.5546142464620876,1.7138645131876569,0.9999999999989553,0.832386668214629,0.7306145225900205,0.9278572407560938,1.220171720077258,0.6628024042234737,2.0701629229547693
81,0.7345897392736473,0.38222505947380314,1.2635852691534988,0.9999999997190092,0.8054500386781377,0.7084317327048156,0.9014059827299598,0.9146864084135535,0.4695239359712325,1.590195142337034
82,0.6497011654762425,0.3328460334201044,1.1034457916202451,0.9999999965588372,0.7776317674508446,0.6819548125080499,0.8730824636436437,0.8378075998841179,0.42650667279653726,1.438657366085858
83,0.6978042222910276,0.3687434458133132,1.1916432016088376,0.9999999996512575,0.7505716709852321,0.6534057385717232,0.8460505124468873,0.932743009172893,0.4861318885039451,1.621134297828219
