day_of_outbreak,date,reported_incidence,incidence_mean,incidence_lower,incidence_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
110,2017-10-14,1.0,1.2430625,1.0,3.0,0.287614502552951,0.1269036134403251,0.5420490320682103,0.9811171742772781
111,2017-10-15,1.0,1.21925,1.0,2.0,0.2930503600298775,0.12744566991136566,0.5641816756393534,0.9777301038538054
112,2017-10-16,0.0,0.2108125,0.0,1.0,0.29196095050770365,0.12539221311151438,0.5601286444736406,0.9746703540976578
113,2017-10-17,0.0,0.1965625,0.0,1.0,0.2946995398716392,0.12430940499229114,0.576518966773946,0.9641303504033897
114,2017-10-18,0.0,0.1778125,0.0,1.0,0.2993952821083281,0.12355091259290517,0.5914237875687843,0.9508153978570721
115,2017-10-19,1.0,1.186625,1.0,2.0,0.30750470495827853,0.12606420683538985,0.6131980270089529,0.9343288499013687
116,2017-10-20,0.0,0.151,0.0,1.0,0.30773619450506573,0.12264373875079464,0.62582041298378,0.936451257989184
117,2017-10-21,0.0,0.1511875,0.0,1.0,0.3090807500429714,0.12167707920755165,0.640202985946075,0.9195994500952737
118,2017-10-22,0.0,0.1344375,0.0,1.0,0.3123145663348294,0.11921291556034194,0.6516127582457182,0.9007492701839696
119,2017-10-23,0.0,0.125875,0.0,1.0,0.31745081731894137,0.1197312014449462,0.668814912032516,0.8797457491273605
120,2017-10-24,0.0,0.1098125,0.0,1.0,0.3239097899742731,0.12137608238054937,0.6842356926232852,0.8560203670128506
121,2017-10-25,0.0,0.1004375,0.0,1.0,0.3321428751845036,0.12103249739940641,0.7084038157961656,0.8292511561967691
122,2017-10-26,0.0,0.097625,0.0,1.0,0.3432975265275941,0.12247072913978105,0.7426244529249931,0.799253883428358
123,2017-10-27,0.0,0.084875,0.0,1.0,0.35385915511702104,0.12510262750655576,0.7641297643450002,0.7660266496930226
124,2017-10-28,0.0,0.0873125,0.0,1.0,0.3667979114763819,0.1281346714217838,0.803252065423919,0.7284800073425874
125,2017-10-29,1.0,1.0695625,1.0,2.0,0.38314501919044763,0.13317301748668955,0.8361183135329384,0.6877282658794417
126,2017-10-30,0.0,0.05375,0.0,1.0,0.38744992467389383,0.13184493673859074,0.8614770426316113,0.7512065165831562
127,2017-10-31,0.0,0.0434375,0.0,1.0,0.39238408988149603,0.1304443170665056,0.8866823612123418,0.7187808668061032
128,2017-11-01,0.0,0.03725,0.0,1.0,0.39972175438417706,0.13032234464295073,0.9085362919148315,0.6856107095380396
129,2017-11-02,0.0,0.03375,0.0,1.0,0.4071458878994318,0.12837368540056282,0.9314933147698676,0.6522522902572577
130,2017-11-03,0.0,0.0349375,0.0,1.0,0.41681067181311837,0.1302520485640035,0.9547234110399555,0.6195180915192284
131,2017-11-04,0.0,0.030875,0.0,1.0,0.4279087517957616,0.12985390086701587,0.9928260168548934,0.5871892637880712
