onset_day,date,reported,cases_mean,cases_lower,cases_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
51,2017-08-16,4,6.306375,4.0,10.0,2.990598371725795,1.8083402848696202,4.65727171763929,0.961739004638454,0.8734141905742118,1.0,3.1136214919776934,1.8729669449460302,4.837368137928035,1.0
52,2017-08-17,4,6.569125,4.0,11.0,3.1501072931026535,1.912974956638103,4.8543367860183935,0.9648432729820058,0.8773436076748347,1.0,3.2692535627160706,1.9709326744923386,5.088807395909884,1.0
53,2017-08-18,8,11.029875,8.0,15.0,3.365970485758904,2.0755625037068715,5.1359789519787,0.9677013081646894,0.8796311171793371,1.0,3.482578523611677,2.125235949129107,5.373511566346077,1.0
54,2017-08-19,5,8.1705,5.0,13.0,3.233955041813997,2.005081643424752,4.900027771200717,0.9702253304022554,0.8851734468644294,1.0,3.3368135802534318,2.054228581078958,5.08759667571101,1.0
55,2017-08-20,8,11.353625,8.0,16.0,3.105053550153301,1.9259250066755724,4.738062716641214,0.9731213213268585,0.8911977033614885,1.0,3.1940408340159583,1.970693033524013,4.869919059108348,1.0
56,2017-08-21,5,8.242375,5.0,12.0,2.7187860494595455,1.676588588521446,4.103818300633641,0.9760160654432538,0.8952126303581215,1.0,2.788330017255543,1.724501259929043,4.253544096622208,1.0
57,2017-08-22,4,7.2495,4.0,11.0,2.379097446685313,1.4976102558278905,3.548272258251463,0.9786587432813869,0.9006391600975721,1.0,2.433118014215766,1.5332508803497116,3.6604681340912766,1.0
58,2017-08-23,5,8.301,5.0,13.0,2.1424711637879574,1.3517330845102973,3.210827458189825,0.9805901373271056,0.9055309442136832,1.0,2.1865208110159684,1.3771031435210621,3.2807171925045173,1.0
59,2017-08-24,7,10.3695,7.0,15.0,1.9122026516263453,1.212165574153741,2.855488647527175,0.9824976080555299,0.9075181622755536,1.0,1.9476222434052437,1.2263537781367564,2.9002113484837593,1.0
60,2017-08-25,2,5.1575,2.0,9.0,1.5770872542053387,0.9967699332002439,2.3655857771638287,0.9841364962377136,0.9109947020952818,1.0,1.603527001754452,1.0187605852144197,2.4128794033047276,1.0
61,2017-08-26,1,4.089375,1.0,8.0,1.4066778465270868,0.8959623958862877,2.0861804607550605,0.9856833819252192,0.9147892458288823,1.0,1.4279852052706465,0.908124323761491,2.124816336115259,1.0
62,2017-08-27,8,11.405,8.0,16.0,1.4111518564994083,0.8966232584848363,2.062277973400717,0.9870817675297385,0.9176748297553936,1.0,1.4303134262207216,0.9071335516223494,2.0913456415833522,1.0
63,2017-08-28,2,5.35075,2.0,10.0,1.2722110670903768,0.8189637132309708,1.859486552093205,0.9878076688820456,0.9196314088968186,1.0,1.2885838495611386,0.8298802420112699,1.8925181917504152,1.0
64,2017-08-29,4,7.552875,4.0,12.0,1.2599014647782407,0.8134074869208783,1.8295920486815707,0.9883305279230513,0.9211267143069366,1.0,1.275479354445587,0.8223148536365499,1.8686279962063848,1.0
65,2017-08-30,2,5.724625,2.0,10.0,1.289810060848432,0.8395109278738755,1.859513656972203,0.9885981248024407,0.9210795369864639,1.0,1.3054164927556609,0.845153075028949,1.8932712756738557,1.0
66,2017-08-31,9,13.461875,10.0,19.0,1.4943555993171718,0.9879726921899589,2.152078610524791,0.9888003572805819,0.9215931286028579,1.0,1.5121494542582874,0.9962874510201059,2.1808308163624,1.0
67,2017-09-01,8,12.785625,9.0,18.0,1.5963424959054793,1.0807943023049407,2.2749600657504727,0.988603167279688,0.9218815598954526,1.0,1.6156187564209563,1.0921250329730285,2.301806976343304,1.0
68,2017-09-02,8,13.05275,9.0,18.0,1.674976798904382,1.1363520333483492,2.3914673201626404,0.987645612523322,0.9212473386919237,1.0,1.6968542532403923,1.144672416998093,2.4263039433428837,1.0
69,2017-09-03,7,12.3215,8.0,18.0,1.7430405796357342,1.1857831382141142,2.4730096333324982,0.9866862052693512,0.9181831475931896,1.0,1.7676107251858044,1.198496465726358,2.532742168077171,1.0
70,2017-09-04,9,14.795625,10.0,21.0,1.8906651133686654,1.2876478711256156,2.665967791873723,0.9848619652896312,0.9147433152715407,1.0,1.920855277237773,1.3037249163307303,2.7268534225499184,1.0
71,2017-09-05,12,18.0595,13.0,24.0,2.0348679815346866,1.389988137049736,2.8667758069333593,0.9819348954445511,0.9079563321277534,1.0,2.073970430418767,1.4098420270424645,2.934664744958885,1.0
72,2017-09-06,12,18.23,14.0,24.0,2.0133367203369605,1.3745676766641695,2.8025222895881132,0.9775886085102038,0.899077076919162,1.0,2.0615407213345405,1.4016852094805374,2.897076060584658,1.0
73,2017-09-07,7,12.718875,8.0,18.024999999999636,1.814674742093804,1.2436694582544212,2.5317145584206946,0.9708611497154785,0.888105401926714,1.0,1.8714699527628469,1.2830582722487394,2.6239661114234654,1.0
74,2017-09-08,12,17.675125,13.0,23.0,1.74418828853811,1.1891165588718724,2.432383737915086,0.9625219662567653,0.8760821809667809,1.0,1.8146957747610872,1.2309075440529333,2.5582179583653266,1.0
75,2017-09-09,2,7.292875,3.0,13.0,1.5047312458685027,1.0241148814897252,2.104715345788998,0.9510867011943465,0.862075378601427,1.0,1.5848229708140782,1.0679589377439285,2.23659741379387,1.0
76,2017-09-10,15,20.7845,16.0,27.0,1.5792063182915994,1.0663255911603549,2.2534966906752887,0.9372766610785606,0.8456018897749701,0.9999999999999993,1.688354095065154,1.1309475055724865,2.416477405079771,1.0
77,2017-09-11,11,16.440375,12.0,22.0,1.3543113446743424,0.928587912443576,1.9301610165628103,0.9202835188189774,0.8285090436610366,0.9999996921159252,1.4749778906480446,1.0004179764836254,2.1185215931816823,1.0
