day_of_outbreak,date,reported_incidence,incidence_mean,incidence_lower,incidence_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
15,2017-07-11,0.0,0.33209375,0.0,2.0,1.332873582692234,0.6181619733783734,2.448769276599048,0.9760618006917323,0.893690154683488,1.0,1.3667359154538108,0.6318112619847234,2.5105841491002288,0.9976089383581873
16,2017-07-12,0.0,0.31709375,0.0,2.0,1.342833572239146,0.625312607788919,2.4622770319965133,0.9791966852384922,0.9002961410853441,1.0,1.372432387678985,0.6387177310982298,2.519174385384376,0.9971132557530858
17,2017-07-13,0.0,0.3031875,0.0,2.0,1.370521427249198,0.6381419019737766,2.5321829070741986,0.9813804560369568,0.904430073675361,1.0,1.397598727788492,0.6497757911176719,2.5838322033776926,0.9965752754569317
18,2017-07-14,0.0,0.2716875,0.0,2.0,1.4139967889622223,0.6574519706980927,2.628374418862045,0.982935925162476,0.9080785623780118,1.0,1.4395597178372568,0.6667559502819629,2.670137545134374,0.9959822744957425
19,2017-07-15,1.0,1.28728125,1.0,3.0,1.4798688019925217,0.6858741008901147,2.7474770360504683,0.9842235991409455,0.9104885500777162,1.0,1.5046319431791382,0.6960096814809401,2.796547576841533,0.9951447306944652
20,2017-07-16,0.0,0.25753125,0.0,2.0,1.5155395113095131,0.7015404776961801,2.840520965386462,0.984559408147765,0.9115657071291515,1.0,1.5404768312931627,0.710828066029649,2.8860867074438437,0.999159021191331
21,2017-07-17,0.0,0.24521875,0.0,2.0,1.56947591717823,0.7228025997104426,2.9356739619646377,0.9847703460497308,0.9125441858020947,1.0,1.5949423826381028,0.7332523297604003,2.9879281050283466,0.9990021128676797
22,2017-07-18,1.0,1.25003125,1.0,3.0,1.648851083385255,0.7527691854072536,3.1033248826922324,0.9845138952032899,0.9112932600318095,1.0,1.676071124887122,0.7665722754616103,3.1686512494579757,0.9987674538887745
23,2017-07-19,0.0,0.2495,0.0,2.0,1.697976569137438,0.7733035028262337,3.2086384878703478,0.9839476100176292,0.9094988465090228,1.0,1.7270956842434804,0.782339788466952,3.273797690652955,0.999786240219398
24,2017-07-20,1.0,1.25290625,1.0,3.0,1.7701755934213415,0.8019621614266493,3.366107545361612,0.9831954507049668,0.9085978688210035,1.0,1.801906791043953,0.8136675614293852,3.4284854074418756,0.9997415800001883
25,2017-07-21,0.0,0.26228125,0.0,2.0,1.810747006690613,0.8219024550762051,3.4588289337498614,0.9817255870625595,0.9053981396209541,1.0,1.8460998931846855,0.8342127369920463,3.5275778845485872,0.9999541621565868
26,2017-07-22,1.0,1.27865625,1.0,3.0,1.8754101622948431,0.8452071254477879,3.594143986120403,0.9800874699577978,0.9024750226320531,1.0,1.9152135708927263,0.8634605825405822,3.6661011233267904,0.9999450717643262
27,2017-07-23,0.0,0.32609375,0.0,2.0,1.907247121028835,0.8673755709352796,3.6351650412392087,0.9780890445904151,0.8981824000416356,1.0,1.9517673089314909,0.8885199559025807,3.7287966445187535,0.9999901347615479
28,2017-07-24,1.0,1.35325,1.0,3.0,1.9728730922716484,0.9059105785827574,3.747933750123937,0.9760672902372735,0.8941647064182469,1.0,2.0232965384354844,0.9266635711888046,3.8575411620200604,0.9999882284308076
29,2017-07-25,1.0,1.383375,1.0,3.0,2.000122674922101,0.9237846792248852,3.7929780824493893,0.9738646388341726,0.8909651528538075,1.0,2.0561552225153985,0.9478141910788993,3.9067462324485542,0.9999979848026237
30,2017-07-26,0.0,0.42459375,0.0,2.0,1.9924464323770834,0.9291955648572836,3.7163681634162438,0.9709810346501271,0.8866825096046449,1.0,2.0544625168544117,0.9551574378630521,3.8320869338183314,0.9999996759939255
31,2017-07-27,1.0,1.42625,1.0,3.0,2.022072082730013,0.9614144449126301,3.732819575131839,0.9678976538422189,0.8820544551264838,1.0,2.0918107544015303,0.9890054421831646,3.8741923886537037,0.999999628587277
32,2017-07-28,1.0,1.45171875,1.0,3.0,2.0337651304213393,0.9853167701553522,3.7333733106849536,0.9650612411441657,0.8780789567520091,1.0,2.1101065680204614,1.0153676258391868,3.8734709640143676,0.9999999432767868
33,2017-07-29,0.0,0.46953125,0.0,2.0,2.0246161610227613,0.9996666816964764,3.6626014650037613,0.9625428158911227,0.8746732798243569,1.0,2.10614095222058,1.0348227367273894,3.824586216959648,0.9999999905089176
34,2017-07-30,1.0,1.5083125,1.0,3.0,2.0706631042079144,1.0365234620711543,3.6795238611814938,0.9603280811681341,0.872038270616994,1.0,2.1590979306028784,1.0734616736159308,3.8481418917078734,0.9999999859830957
35,2017-07-31,0.0,0.58071875,0.0,3.0,2.100400562995742,1.0648635295598021,3.7158245884432115,0.9577017845886299,0.8684589482937699,1.0,2.1962771967953376,1.1102739826797643,3.8869049434996388,0.99999999762476
36,2017-08-01,0.0,0.62471875,0.0,3.0,2.1959445129087514,1.1281396367811134,3.8425502195450063,0.9551805204558103,0.864859330557318,1.0,2.3024135935206895,1.180300211796582,4.05102873291624,0.9999999968535743
37,2017-08-02,3.0,3.75725,3.0,6.0,2.369451933957177,1.2262327287328525,4.114325112160211,0.9530003099389589,0.8627281879868225,1.0,2.490189572467267,1.280108788549611,4.33768700075981,0.9999999954245586
38,2017-08-03,2.0,2.85403125,2.0,5.0,2.4111399998490435,1.2572883348115826,4.122564578902106,0.9511658509350699,0.8603275992028354,1.0,2.5388358987773034,1.3230207585313383,4.368587948073935,0.9999999999948186
39,2017-08-04,1.0,1.914625,1.0,4.0,2.3776612416008347,1.2532343693594028,4.045950349322982,0.9494234926174259,0.8576176298990509,1.0,2.5082995022272185,1.318811670700214,4.2632946787669805,0.9999999999999272
40,2017-08-05,1.0,1.94290625,1.0,4.0,2.3600648054225655,1.26046279837783,3.995323558887145,0.9479900109669314,0.8560856749860097,1.0,2.4935212546252434,1.3293008880460635,4.23310389893487,0.9999999999999857
41,2017-08-06,1.0,1.99,1.0,4.0,2.3631159605848366,1.2706176165095857,3.989896828282138,0.9471025219411684,0.8549856259722531,1.0,2.4990534420756445,1.3379299739235289,4.237352626821436,0.9999999999999971
42,2017-08-07,1.0,2.09946875,1.0,5.0,2.3860281269536587,1.2879679860122717,4.012458935391392,0.9466096631311498,0.8546644193328486,1.0,2.5245140644379034,1.3599947608213514,4.259588506806538,0.9999999999999998
43,2017-08-08,3.0,4.2038125,3.0,7.0,2.433758209035973,1.3245750190026944,4.064810790348586,0.9466012059312249,0.8543374844671425,1.0,2.5751153204662365,1.3921714414988082,4.311122580524262,1.0
44,2017-08-09,0.0,1.25903125,0.0,4.0,2.352257911194984,1.2927167459608568,3.872023990592494,0.946870050290891,0.8542560101485438,1.0,2.488432575586095,1.362916790479804,4.106502494856829,1.0
45,2017-08-10,1.0,2.36975,1.0,5.0,2.3903252913687716,1.3358255007544655,3.916161419348819,0.9476648486551322,0.8554658093137186,1.0,2.5264992268767092,1.4019955697665556,4.153089838034826,1.0
46,2017-08-11,1.0,2.53665625,1.0,6.0,2.4904582938185373,1.412915215241126,4.034577204625745,0.9490897555498934,0.8582798100876374,1.0,2.6282626599632275,1.4845072568212403,4.266502308475761,1.0
47,2017-08-12,4.0,5.70946875,4.0,9.0,2.683548338551472,1.5584013277461104,4.273575351481333,0.9510775326693972,0.8602254708967767,1.0,2.8261505465053043,1.628919929018107,4.51350097140111,1.0
48,2017-08-13,3.0,4.82453125,3.0,8.0,2.746372456658134,1.6041908249783912,4.361769635225419,0.9531655447533552,0.862814914911635,1.0,2.886188050361947,1.6755234435196855,4.608266048129248,1.0
49,2017-08-14,3.0,4.91834375,3.0,8.0,2.776802365675561,1.6475524817279377,4.367060405601179,0.9555661511503097,0.8656818802076436,1.0,2.910639987293326,1.7197558212362203,4.595952651929398,1.0
50,2017-08-15,2.0,4.0276875,2.0,7.0,2.8182940010446726,1.6862140801433656,4.38365397716966,0.9583001204664086,0.8697709789716694,1.0,2.9455105666279833,1.7501474043266545,4.622322275472959,1.0
51,2017-08-16,4.0,6.26403125,4.0,10.0,2.993502682115426,1.8164856836438077,4.622507821750995,0.9613532118999077,0.8740706230586018,1.0,3.1183975515069124,1.8847237558913665,4.840163457083302,1.0
52,2017-08-17,4.0,6.56928125,4.0,10.0,3.1628984461087772,1.9291746317236165,4.812235351245698,0.964601099666483,0.878163435086294,1.0,3.283471323752324,2.0032962656966253,5.036108713628426,1.0
53,2017-08-18,8.0,10.930625,8.0,15.0,3.376707826600831,2.09701529138879,5.0843180829672905,0.9673673283493193,0.8824017840916552,1.0,3.4949644976300314,2.160576490210312,5.2865310614995105,1.0
54,2017-08-19,5.0,8.09171875,5.0,12.0,3.2437844364052486,2.02657114848233,4.863351502962725,0.9700472781062536,0.8865064599270202,1.0,3.34796449563583,2.087145559438884,5.040464051951837,1.0
55,2017-08-20,8.0,11.30896875,8.0,15.0,3.123573804231612,1.968452160984766,4.676372752035344,0.9730520469163186,0.8910226055748643,1.0,3.213527654486575,2.0165816987954437,4.841801406667284,1.0
56,2017-08-21,5.0,8.31225,5.0,13.0,2.7369300380667596,1.714090695622705,4.086328898056588,0.9759995616182161,0.8960249411670149,1.0,2.807148350886256,1.750098949797115,4.210079797315357,1.0
57,2017-08-22,4.0,7.2251875,4.0,11.0,2.3989941696847006,1.5162250663722976,3.5994456047483885,0.9786270681801086,0.9005294517546006,1.0,2.45365265249185,1.5430260121646784,3.698728146128982,1.0
58,2017-08-23,5.0,8.30678125,5.0,12.0,2.1593445303994043,1.3693545619133083,3.21515413913778,0.9807508616508955,0.9041810565568051,1.0,2.203615297236715,1.3885999046336979,3.2842397113725403,1.0
59,2017-08-24,7.0,10.35565625,7.0,15.0,1.9290451427002082,1.2286975464077674,2.8689915323428967,0.9827227709382528,0.9083778687039391,1.0,1.9644231324249233,1.2480921411205987,2.930045199197464,1.0
60,2017-08-25,2.0,5.13778125,2.0,9.0,1.5933415839629261,1.0107707869729807,2.3622599022520556,0.9844338241870841,0.9124407973483301,1.0,1.619600730379234,1.0247528334663345,2.41186994004039,1.0
61,2017-08-26,1.0,4.1605625,1.0,8.0,1.4281573709682842,0.9077286492011578,2.1115940197380403,0.9860048299240941,0.9161058822455879,1.0,1.4492690989103372,0.9159196998130938,2.1483870441489676,1.0
62,2017-08-27,8.0,11.47996875,8.0,16.0,1.4337055015237974,0.9164812035987052,2.1124042706072927,0.9873753942974913,0.9190644777817318,1.0,1.4528466943724534,0.926124483466197,2.1429512032691145,1.0
63,2017-08-28,2.0,5.42775,2.0,10.0,1.290274302058053,0.8319223708162643,1.901641182721394,0.9881489092284541,0.9219364272089543,1.0,1.3064214451567417,0.839561760264818,1.9276708014567523,1.0
64,2017-08-29,4.0,7.58509375,4.0,12.0,1.2750025862367116,0.8261088177787355,1.8662255276956337,0.9887048890285361,0.9233813705592603,1.0,1.2901832197145426,0.8344542566410191,1.8943140522417903,1.0
65,2017-08-30,2.0,5.82696875,2.0,10.0,1.3061113289979296,0.8592271936081396,1.8906906599353879,0.989007874003284,0.9245409529412166,1.0,1.3212391915862478,0.8668871254239263,1.9166602132359607,1.0
66,2017-08-31,9.0,13.49103125,10.0,19.0,1.5088842780291227,0.9970304624742724,2.1611210611705314,0.98920333601934,0.9251772343490008,1.0,1.5260932375540943,1.0058144467688874,2.1935765157361238,1.0
67,2017-09-01,8.0,12.9064375,9.0,18.0,1.6133685457777145,1.0784226989213699,2.2992890387655596,0.9890912977978047,0.924729813913958,1.0,1.6319386340083257,1.0877254738830877,2.329549924056871,1.0
68,2017-09-02,8.0,13.11328125,9.0,18.0,1.6857809347041341,1.13339373351188,2.392987332304097,0.9881157900337834,0.9222905550476184,1.0,1.706921603981706,1.1465785492715959,2.425504518724812,1.0
69,2017-09-03,7.0,12.3049375,8.0,18.0,1.7519289558316913,1.189474492606541,2.4798325724745323,0.9871306480496248,0.9191250738878037,1.0,1.7758008529870946,1.203840706426706,2.5149279468213264,1.0
70,2017-09-04,9.0,14.8075,10.0,21.0,1.895885296969855,1.2964386200522224,2.6683339802600075,0.9853242972518559,0.915420298381601,1.0,1.9254024252919162,1.3118433431028411,2.713934612552628,1.0
71,2017-09-05,12.0,18.1804375,14.0,24.0,2.036854517716652,1.4002999134269294,2.8471974083224336,0.9822954232098005,0.9088944174397611,1.0,2.0751687135209176,1.4208397699816282,2.911996344354164,1.0
72,2017-09-06,12.0,18.22453125,14.0,24.0,2.010305583897328,1.383835319138877,2.804729961856103,0.9778627886516008,0.9008414799862493,1.0,2.0577310951592818,1.4076184477815172,2.873353638168533,1.0
73,2017-09-07,7.0,12.80290625,8.0,18.0,1.8185132671139719,1.2503619972899318,2.5436665558330778,0.9712482396308645,0.8902799457817928,1.0,1.8745161392509861,1.280812615067678,2.6329306776336994,1.0
74,2017-09-08,12.0,17.8753125,14.0,24.0,1.7504886895041025,1.1971634576834702,2.455755043980563,0.9627431952951491,0.8780955247041927,1.0,1.8207167438104848,1.238499342079543,2.5713918108225395,1.0
75,2017-09-09,2.0,7.28525,3.0,13.0,1.5030929293532023,1.0236885976906696,2.115231220054244,0.9511718520824342,0.863207683563707,1.0,1.5829825777698163,1.0673087455364758,2.255399986348684,1.0
76,2017-09-10,15.0,20.91796875,16.0,26.0,1.579543588861807,1.073312138028316,2.2096301721272122,0.9374181050040081,0.8472881724967508,0.9999999999999997,1.6883255657171286,1.1366667216100206,2.385733835474797,1.0
77,2017-09-11,11.0,16.3920625,12.0,22.0,1.348245904935723,0.9172840071555842,1.8955792353653793,0.9205631420995308,0.8292009641780264,0.9999999768384238,1.4677861072249108,0.9887199763811005,2.0814050391906185,1.0
78,2017-09-12,5.0,9.475375,6.0,14.0,1.047311153695878,0.7045653700420791,1.4840111800268452,0.900814346031517,0.8088173248621666,0.9908702687471329,1.1654258468196073,0.7752287975596698,1.671964302698886,1.0
79,2017-09-13,4.0,7.909375,5.0,13.0,0.8655436281879184,0.5785853679804601,1.237245812645337,0.8788428995983162,0.7874095427044441,0.9688324739345534,0.9874052733665432,0.6517130682058531,1.428247843448534,1.0
80,2017-09-14,2.0,5.69165625,2.0,10.0,0.7692202340449481,0.5119092872776698,1.1038210600138751,0.8553747595607369,0.7636046524243847,0.9453076389991716,0.9017970508300626,0.5924255571877526,1.3087708579444297,1.0
81,2017-09-15,4.0,7.9386875,4.0,13.0,0.7760676100237828,0.5164511584777057,1.1093081371495823,0.8316153178795549,0.7405641794311164,0.9209483764422343,0.9359375394583447,0.6157126007150133,1.3558653992658714,1.0
82,2017-09-16,7.0,11.32553125,8.0,16.0,0.837737607594004,0.5582755028205985,1.1884076505562018,0.8065294282271477,0.7159980760636794,0.8959408098441818,1.041958127132934,0.6832367065922726,1.5002033522720077,1.0
83,2017-09-17,13.0,17.8440625,14.0,23.0,0.8988473807116991,0.6014703501490645,1.2767693999800458,0.7791101679890347,0.6892153256379242,0.868787333595884,1.1575055552333757,0.7607160221755215,1.6712927833050621,1.0
