day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
123,0.25072165887277603,0.007141280893564019,0.9099167639491728,0.7421929208621043
124,0.2689640005120807,0.0076608757558042076,0.976121704303824,0.717774835450371
125,0.5661373158885804,0.0706443654210279,1.5657914409865237,0.691157648584328
126,0.6088213459812498,0.07597061072385851,1.6838445830603919,0.8602496831002779
127,0.6582454355038825,0.08213790149033684,1.8205390106863575,0.8369387749995021
128,0.7167597379985164,0.08943949714880249,1.982374649232088,0.8121556677490859
129,0.7859488401917621,0.0980731273323576,2.1737340614864946,0.7862632503639925
130,0.8655541193323693,0.1080065202941435,2.393901962872872,0.7585008420769715
131,0.952442583865986,0.11884873165721302,2.634213297718664,0.7287072635768865
132,1.0403971907397187,0.1298239795592143,2.8774733103925665,0.6955219891565416
133,1.121095435817645,0.1398937561913603,3.1006640768364404,0.8269285045218262
134,1.1866610524129133,0.1480752366340357,3.2820018519780443,0.8017813949836678
135,1.2323274222237264,0.1537736275117035,3.4083033851643307,0.7711257034488166
136,1.2577550181507582,0.1569465615827038,3.4786296310238165,0.7349361384224717
137,1.2663159316164727,0.158014818845097,3.5023069344896793,0.6916490859532453
138,1.2630673595944126,0.1576094519798821,3.493322212718449,0.6407849388277828
139,0.6384135872700414,0.01818387279926477,2.3169247842473286,0.5780233387391449
140,0.6317790633004478,0.017994902291192313,2.2928468302010074,0.542102081588554
141,0.6250371055589103,0.017802871757327327,2.2683789784867106,0.5009439072122165
142,0.6193732150735468,0.017641547709424117,2.2478236386529886,0.4568224197562303
143,0.6163253214942356,0.01755473484977167,2.236762250996984,0.41068606986144796
144,0.6178760565267204,0.017598904286541716,2.24239016447221,0.36093224146124303
145,0.6261449886210496,0.017834427484022537,2.272399697619107,0.3133541686541025
146,0.6429310634273889,0.018312543638133005,2.333319567628995,0.26710408547471953
147,0.6694728257720095,0.019068530102028157,2.4296446901202273,0.2253401231115556
148,0.7063397827848551,0.02011860809251111,2.5634419151888594,0.1863527332547531
149,0.7533936558677309,0.02145883903357009,2.7342094034040327,0.15015735608691116
150,0.809722816515518,0.023063257098180377,2.9386386808866605,0.11928986344670822
151,0.8735882987711074,0.02488233148625118,3.1704187082019204,0.09231864260013345
152,0.9424094416286687,0.02684255747857891,3.4201837738997827,0.07032433971129837
153,1.0129885812628228,0.028852856323998276,3.676328945509444,0.052665563285116956
154,1.081872833727173,0.030814879861185872,3.9263230480182534,0.038571846923460495
155,1.1459017990393945,0.03263861072143387,4.158696386555686,0.027645195473307682
156,1.2026849583587016,0.03425595998653634,4.364773311887663,0.019428029114711087
157,1.2508443024236227,0.03562767795124518,4.539552765336093,0.013392715381998266
158,1.2900397221499773,0.03674407732122972,4.6818004261061255,0.009092995488095279
159,1.3207780391009554,0.037619593846324684,4.793355646405104,0.006079689284853362
160,1.3441261469800745,0.038284615757266285,4.878090387157934,0.004024114290501979
161,1.3613706634445926,0.038775789661030687,4.94067402946394,0.002616167221355159
162,1.3738146048549764,0.03913022924727993,4.985835468446982,0.001690855670325564
163,1.3825904456237983,0.0393801906757784,5.017684669944773,0.0010845460476403002
164,1.3886785061777114,0.03955359631894454,5.039779403933248,0.0006817035444364183
165,1.3928256776118002,0.03967171980399866,5.054830280781361,0.00042927158114869357
166,1.3956321549826212,0.03975165642900573,5.065015522929307,0.00026179656538516394
167,1.3975002869128756,0.039804866251085536,5.071795330339044,0.0001625601712323954
168,1.3987304733680144,0.03983990553355961,5.076259911832906,9.948491816447191e-05
169,1.399532698134822,0.03986275522442916,5.079171338659992,6.1859016972865e-05
170,1.4000511994169038,0.03987752364657373,5.081053078796909,3.7791910434403775e-05
171,1.4003835829152265,0.03988699089378558,5.082259361965837,2.2529509610680343e-05
172,1.4005950418414679,0.03989301385804213,5.083026786777633,1.3615189452642618e-05
173,1.4007286197959308,0.03989681854607068,5.083511566675016,0.0
