onset_day,date,reported,cases_mean,cases_lower,cases_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
52,2017-08-17,4,6.456375,4.0,10.0,3.261780115100888,1.96548730685091,4.9802284259910214,0.9660321078760835,0.8798597358148953,1.0,3.3815004153337496,2.0262066807879613,5.2532744448320665,1.0
53,2017-08-18,8,10.830875,8.0,15.0,3.474037387730538,2.132142641517193,5.32507444867268,0.9686186440540797,0.8823683653809059,1.0,3.5914109731417714,2.2023653191230204,5.522814510239259,1.0
54,2017-08-19,5,8.095375,5.0,12.0,3.3229432108176344,2.047023170655935,4.979327911026344,0.9711321821381006,0.8874354577462166,1.0,3.4261847044964684,2.0926262197624514,5.1567986423405925,1.0
55,2017-08-20,8,11.318,8.0,16.0,3.1896548419272355,1.9694592094497203,4.787363298433091,0.9740453175628893,0.891940848575763,1.0,3.278550407617935,2.0247974510569455,4.967548787657832,1.0
56,2017-08-21,5,8.259875,5.0,13.0,2.7882135232511804,1.7470292199082857,4.147015711483696,0.9768258072095285,0.8968316940596723,1.0,2.857026267841432,1.78777220225832,4.265950860896921,1.0
57,2017-08-22,4,7.181375,4.0,11.0,2.43643335748567,1.5303109988196921,3.6784352542750622,0.9794105035668381,0.9011411350745806,1.0,2.4896266635140183,1.5567657370913464,3.733820963034276,1.0
58,2017-08-23,5,8.3815,5.0,13.0,2.1927004036232804,1.3841098684327309,3.2934993269131434,0.9816504790962587,0.9058342789368045,1.0,2.2352865130044965,1.4074026229271612,3.3684718539911156,1.0
59,2017-08-24,7,10.384875,7.0,15.0,1.956091210426119,1.2389350083439747,2.915468996580436,0.9833962028610336,0.9106161982847091,1.0,1.9905338828474919,1.255122088883004,3.0054167214235945,1.0
60,2017-08-25,2,5.198375,2.0,10.0,1.6125357813217058,1.0130432680530344,2.4023817258279374,0.9849379414180374,0.9126637469197109,1.0,1.6382077290290744,1.028054270052847,2.452267792313827,1.0
61,2017-08-26,1,4.12425,1.0,8.0,1.4393585578262345,0.9096856213668593,2.126422474315955,0.9864239972844796,0.9148726606187183,1.0,1.4600849073719109,0.9185361947234826,2.1660325099067443,1.0
