date,temperature,temperature_smoothed,suitability,suitability_smoothed
2021-06-27,26.7,24.451111524091697,0.8633473195301091,0.9076933127907938
2021-06-28,27.9,24.559194571249247,0.5341784079999368,0.9239683239158191
2021-06-29,26.5,24.664814572070135,0.9073280737314408,0.9369549508722673
2021-06-30,25.4,24.767911834206952,0.9956336110415832,0.9496313916334495
2021-07-01,25.0,24.8684275547291,0.9781680552079165,0.9619904160183609
2021-07-02,25.0,24.9663038710131,0.9781680552079165,0.9740249094625257
2021-07-03,25.5,25.061483911145203,1.0,0.9808526819153633
2021-07-04,26.1,25.153911843782524,0.9627249279938402,0.9848884449605322
2021-07-05,25.6,25.243532927419917,0.995314828311888,0.9888016500608887
2021-07-06,26.9,25.330293559007085,0.8193665653287775,0.9925899566987634
2021-07-07,27.6,25.4141413218657,0.6267230328667979,0.9962510761581014
2021-07-08,26.7,25.495025032851924,0.8633473195301091,0.9997827735837616
2021-07-09,26.5,25.572894788715267,0.9073280737314408,0.9965847539970033
2021-07-10,25.8,25.64770201160089,0.9859444849356642,0.9930799071697032
2021-07-11,25.7,25.71939949364761,0.9906296566237761,0.9897207570397611
2021-07-12,25.8,25.787941440630888,0.9859444849356642,0.98650944914522
2021-07-13,26.0,25.853283514603884,0.9765741415594403,0.983448060795012
2021-07-14,22.6,25.915382875488824,0.4972832861426748,0.9805385991203324
2021-07-15,22.4,25.974198221573637,0.45136849307062316,0.9777829991773017
2021-07-16,22.8,26.029689828867415,0.5449639600227902,0.9724623337523309
2021-07-17,22.4,26.081819589272783,0.45136849307062316,0.9652427719025559
2021-07-18,24.4,26.130551047530798,0.8982875420435125,0.9584938481747723
2021-07-19,25.1,26.1758494368987,0.9825344441663333,0.9522203774894343
2021-07-20,25.8,26.217681713519084,0.9859444849356642,0.946426936160925
2021-07-21,27.1,26.256016589443007,0.7694151988136391,0.9411178573241131
2021-07-22,27.8,26.29082456426885,0.5650266162888901,0.936297226552622
2021-07-23,27.6,26.3220779553616,0.6267230328667979,0.9319688776736949
2021-07-24,26.8,26.34975092661792,0.8413569424294429,0.9281363887844601
2021-07-25,28.1,26.37381951574445,0.47315388542885456,0.9248030784740999
2021-07-26,30.4,26.39426166001756,0.024663881676580058,0.9219720022563291
2021-07-27,28.7,26.41105722049525,0.29978393117385654,0.9196459492162344
2021-07-28,28.5,26.424188004652997,0.3524486283003456,0.9178274388753899
2021-07-29,28.3,26.433637787416913,0.4128012568646001,0.9165187182789298
2021-07-30,28.2,26.439392330569746,0.44297757114672787,0.9157217593079695
2021-07-31,28.8,26.441439400506525,0.27345158261061153,0.9154382562205877
2021-08-01,28.9,26.43976878431864,0.2471192340473675,0.9156696234243092
2021-08-02,24.7,26.434372304186795,0.9412812150578076,0.9164169934827938
2021-08-03,24.8,26.42524383006511,0.9535768284411773,0.9176812153591865
2021-08-04,26.8,26.41237929064062,0.8413569424294429,0.9194628528983151
2021-08-05,25.1,26.395776682553816,0.9825344441663333,0.921762183549716
2021-08-06,25.3,26.37543607786836,0.9912672220831666,0.924579197333139
2021-08-07,27.2,26.351359629779267,0.7414542093991678,0.9279135960480084
2021-08-08,28.6,26.323551576551438,0.3261162797371006,0.9317647927279662
2021-08-09,26.9,26.292018243681582,0.8193665653287775,0.936131911341464
2021-08-10,28.5,26.25676804427933,0.3524486283003456,0.9410137867389818
2021-08-11,29.8,26.217811477664146,0.07942536961786291,0.9464089648473438
2021-08-12,30.1,26.17516112617776,0.045727766050839724,0.9523157031111725
2021-08-13,30.5,26.128831650212753,0.017642586885160003,0.9587319711813895
2021-08-14,30.6,26.07883978146061,0.014959568649216801,0.9656554518503084
2021-08-15,30.3,26.0252043143834,0.031685176467999863,0.9730835422327379
2021-08-16,28.5,25.967946095917,0.3524486283003456,0.9780759219984716
2021-08-17,26.8,25.90708801341307,0.8413569424294429,0.9809272276498735
2021-08-18,26.2,25.84265498083186,0.9488757144282406,0.9839460258501603
2021-08-19,25.8,25.774673923196662,0.9859444849356642,0.9871310551157637
2021-08-20,26.4,25.703173759325878,0.9211772872970408,0.9904809605503913
2021-08-21,25.9,25.628185382857044,0.9812593132475523,0.9939942947340838
2021-08-22,27.1,25.54974164158229,0.7694151988136391,0.9976695186913844
2021-08-23,25.9,25.467877315114325,0.9812593132475523,0.9985973986340049
2021-08-24,23.7,25.382629090903922,0.7576841322768367,0.9948751295848356
2021-08-25,23.8,25.29403553863368,0.7800153405356548,0.9910067905006386
2021-08-26,24.9,25.20213708301124,0.9658724418245467,0.986994146481385
2021-08-27,24.6,25.106975974990732,0.9289856016744382,0.9828390423680704
2021-08-28,23.7,25.008596261448652,0.7576841322768367,0.978543401418647
2021-08-29,21.9,24.90704375334661,0.34381734189886665,0.9667385145037242
2021-08-30,22.1,24.802365992410223,0.3851451246746443,0.9538677417206182
2021-08-31,22.8,24.694612216359534,0.5449639600227902,0.9406187540114435
2021-09-01,23.3,24.58383332272418,0.6648708830166833,0.9269978095396659
2021-09-02,23.8,24.47008183128091,0.7800153405356548,0.9111843133742851
2021-09-03,24.0,24.353411845149434,0.82467775705329,0.8897141818894094
2021-09-04,24.2,24.233879010588204,0.8614826495484013,0.8677172162610993
2021-09-05,24.1,24.111540475527878,0.843080203300846,0.8452039331065758
2021-09-06,23.6,23.98645484688724,0.7353529240180195,0.8216529607027042
2021-09-07,23.7,23.85868214671165,0.7576841322768367,0.7931197729285783
2021-09-08,23.1,23.7282837671816,0.6167200502741652,0.7640002392295994
2021-09-09,22.3,23.595322424533734,0.42929403693863044,0.7343083648991839
2021-09-10,23.1,23.45986211194367,0.6167200502741652,0.7033583520870105
2021-09-11,24.4,23.321968051416675,0.8982875420435125,0.6701597828639001
2021-09-12,23.1,23.18170664473612,0.6167200502741652,0.6363912651973714
2021-09-13,24.2,23.039145423517684,0.8614826495484013,0.602069057605081
2021-09-14,23.4,22.894352998422814,0.6889462993879419,0.5674580327598364
2021-09-15,23.8,22.74739900757932,0.7800153405356548,0.5324237061958861
2021-09-16,25.4,22.598354064265266,0.9956336110415832,0.49689088951769694
2021-09-17,24.6,22.447289703905234,0.9289856016744382,0.4618074380141339
2021-09-18,23.9,22.29427833043653,0.802346548794472,0.4280310095008245
2021-09-19,23.2,22.13939316209597,0.6407954666454239,0.39384095096052396
2021-09-20,22.3,21.982708176684937,0.42929403693863044,0.3597414173171358
2021-09-21,22.2,21.82429805636706,0.407219580806637,0.32924219941552363
