date,temperature,temperature_smoothed,temperature_rolling,suitability,suitability_smoothed,suitability_rolling_temp
2017-05-19,21.1,19.00064164424934,19.264285714285712,0.2032044534163346,0.025589704295650634,0.03668177401302768
2017-05-20,17.1,19.15451974522579,19.178571428571427,0.0011370975020328947,0.03206368500673925,0.033075590749406886
2017-05-21,18.7,19.30841216044147,19.29285714285714,0.017951581406644303,0.038538267948477214,0.037883835100901285
2017-05-22,20.2,19.46226332567156,19.650000000000002,0.0972965469239806,0.045011115415125855,0.05626692712012255
2017-05-23,20.2,19.61601677078675,19.935714285714287,0.0972965469239806,0.05407656093328702,0.07468244927657472
2017-05-24,20.5,19.769615149415646,20.142857142857142,0.12500245466728707,0.06397664114021152,0.09201923116335083
2017-05-25,19.8,19.923000269937756,20.1,0.06593507625225989,0.07386297593926905,0.08806124434287867
2017-05-26,20.0,20.076113127781593,20.057142857142857,0.0788259417617764,0.0858552194163474,0.08410325752240617
2017-05-27,20.6,20.22889393899967,20.135714285714283,0.13746287532172685,0.09996498961819913,0.09135956669327186
2017-05-28,21.7,20.381282175092462,20.335714285714285,0.30531068861129895,0.1140385043193729,0.10983017185547639
2017-05-29,21.8,20.533216599050025,20.478571428571428,0.32456401525508316,0.1291413826360188,0.12302346125705083
2017-05-30,21.5,20.684635302579238,20.521428571428572,0.2668040353237313,0.14800879004525755,0.12767254480752424
2017-05-31,21.8,20.835475744483546,20.514285714285712,0.32456401525508316,0.16680414362354987,0.12678251476077823
2017-06-01,21.9,20.985674790159006,20.49285714285714,0.34381734189886665,0.18551957653366613,0.1243427901972081
2017-06-02,21.7,21.1351687521715,20.535714285714285,0.30531068861129895,0.2087962482521148,0.12945260490101537
2017-06-03,21.9,21.283893431876123,20.87857142857143,0.34381734189886665,0.23244331687342892,0.17217404714480863
2017-06-04,22.6,21.431784162039907,21.157142857142862,0.4972832861426748,0.25595778838941974,0.2122901079745347
2017-06-05,23.3,21.578775850427512,21.378571428571426,0.6648708830166833,0.2819710071229588,0.2474970193875569
2017-06-06,23.2,21.724803024307203,21.592857142857145,0.6407954666454239,0.310086095898702,0.28468212435010254
