day_of_outbreak,true,reported,cases_mean,cases_lower,cases_upper,rep_no_true,rep_no_mean,rep_no_lower,rep_no_upper,rep_no_naive_mean,additional_case_prob_true,additional_case_prob_est_r,additional_case_prob_est_r_lower,additional_case_prob_est_r_upper,additional_case_prob_known_r,additional_case_prob_known_r_lower,additional_case_prob_known_r_upper,additional_case_prob_naive
39,1,0,0.953,0.0,4.0,1.72,1.5200796316848972,0.7446014429641191,2.78027938381439,1.5098511573809368,0.9999999986529634,0.9999999825645914,0.9999999278760333,1.0,0.9999999994112065,0.999999998800321,1.0,0.9998961964618002
40,1,0,1.02,0.0,4.0,1.7,1.5111368794177003,0.7476564574690103,2.748197590154827,1.4763560004032414,0.9999999983010476,0.99999997922295,0.9999999090534949,1.0,0.9999999993717027,0.9999999985636399,1.0,0.9998434685458396
41,3,1,2.12,1.0,5.0,1.68,1.5348231186009385,0.7599026660081937,2.7185892713985025,1.4804718637773318,0.9999999976891863,0.9999999729592075,0.9999998855934874,1.0,0.9999999990373782,0.9999999984274333,1.0,0.9997516943619243
42,2,1,2.16425,1.0,5.0,1.6600000000000001,1.5434049272637023,0.7610537608924601,2.731137919620401,1.4637735842690414,0.9999999998116779,0.999999992242568,0.9999999810477425,1.0,0.9999999997722453,0.9999999994828993,1.0,0.9998922857101641
43,2,1,2.181125,1.0,5.0,1.6400000000000001,1.537815619048787,0.7772463194433612,2.7459850512198183,1.4403976228779696,0.9999999999330007,0.9999999983630246,0.9999999963695972,1.0,0.9999999999223796,0.9999999998562957,1.0,0.9999514416133107
44,3,0,1.2665,0.0,4.0,1.62,1.5250357863622395,0.7590815896226067,2.7375040433511177,1.4076666857044224,0.9999999999755864,0.9999999995769481,0.9999999990719268,1.0,0.9999999999719182,0.9999999999535731,1.0,0.9999778617141007
45,1,1,2.38925,1.0,5.0,1.6,1.5452370039527414,0.770167122014042,2.755315609155185,1.4210888988864503,0.9999999999977114,0.9999999993459369,0.9999999989202835,1.0,0.9999999999747988,0.999999999955039,1.0,0.9999594971855286
46,2,0,1.408875,0.0,4.0,1.58,1.5508326158265628,0.7854752373301973,2.767889104842228,1.4194318083906852,0.9999999999966841,0.999999999883853,0.9999999997753048,1.0,0.9999999999864049,0.9999999999879313,1.0,0.9999824559510382
47,4,2,3.434625,2.0,6.0,1.56,1.5973682540561691,0.8119241219255454,2.787723324658715,1.4767825101220484,0.999999999998711,0.9999999998822761,0.9999999998187595,1.0,0.9999999999917164,0.9999999999883183,1.0,0.9999673839640095
48,5,0,1.463125,0.0,4.0,1.54,1.5824257884241342,0.806915167046415,2.7878048798288213,1.4709271314177153,0.999999999999961,0.999999999988528,0.9999999999944739,1.0,0.999999999998826,0.9999999999991104,1.0,0.999996632287872
49,2,2,3.554,2.0,7.0,1.52,1.6100916624115922,0.8256557339881132,2.8064515418939906,1.5178389581065024,0.9999999999999997,0.9999999999927862,0.999999999995263,1.0,0.999999999998989,0.999999999998916,1.0,0.9999936029330957
50,1,0,1.476125,0.0,4.0,1.5,1.5783379895171834,0.8252086145580803,2.7392688493322157,1.5074492990783273,0.9999999999999998,0.9999999999989213,0.9999999999998662,1.0,0.9999999999998688,0.9999999999999033,1.0,0.9999992070504943
51,0,0,1.56425,0.0,5.0,1.48,1.6022170450897624,0.8457782484010715,2.7655419455040993,1.545200211818872,0.9999999999999996,0.9999999999995466,0.9999999999998659,1.0,0.9999999999997876,0.9999999999998671,1.0,0.9999984487110728
52,1,1,2.759875,1.0,6.0,1.46,1.6702867637410304,0.8872145266428167,2.8694154773654477,1.6331884756097421,0.9999999999999961,0.9999999999996855,0.9999999999998623,1.0,0.9999999999997704,0.9999999999997998,1.0,0.9999968974657439
53,1,0,1.8415,0.0,5.0,1.44,1.7428214875830284,0.9228685568616826,2.978929292239534,1.72822446010041,0.9999999999999878,0.9999999999998802,0.9999999999999694,1.0,0.999999999999931,0.999999999999893,1.0,0.9999982573749792
54,8,2,4.007375,2.0,7.0,1.42,1.8915497677241138,1.0170091644176302,3.201524965343791,1.9065684398126557,0.9999999999999534,0.9999999999998961,0.9999999999999649,1.0,0.9999999999998436,0.9999999999998418,1.0,0.999996200654399
55,7,3,5.24825,3.0,9.0,1.4,2.0117494759541583,1.090460899721533,3.383068136796176,2.051886557467781,0.9999999999999999,0.9999999999999899,0.9999999999999978,1.0,0.9999999999999747,0.9999999999999762,1.0,0.9999992276838685
56,3,2,4.405375,2.0,8.0,1.38,2.017981594625513,1.0909295968298636,3.3849140793347603,2.0784550538617306,1.0,0.9999999999999998,1.0,1.0,0.9999999999999967,0.9999999999999988,1.0,0.9999999328516395
57,3,1,3.342,1.0,7.0,1.3599999999999999,1.992833521205017,1.0786954057553577,3.328220828151513,2.086325670011518,1.0,1.0,1.0,1.0,0.9999999999999997,0.9999999999999998,1.0,0.9999999782185955
58,5,3,5.447625,3.0,9.0,1.34,2.007737934404452,1.0932892849697327,3.3384153510282424,2.1180742345602765,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0,0.9999999783240751
59,3,2,4.40675,2.0,8.0,1.32,1.9277374171178492,1.0532186499761567,3.238330662675445,2.049973813410832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999966238725
60,2,0,2.372125,0.0,6.0,1.3,1.8234561841836439,0.9985132351188849,3.042664395819265,1.9490718157088855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999985403938
61,2,1,3.498,1.0,7.0,1.28,1.8255099041584217,1.0070575915182103,3.020695352082812,1.9409926129659527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999960321698
62,6,3,5.768125,3.0,10.0,1.26,1.8738532687057132,1.0378426483195913,3.0812527603938107,1.9729926125466948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999950329338
63,7,3,5.846625,3.0,10.0,1.24,1.8493301083905178,1.0254097767423669,3.010137571755406,1.919223719061839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999986374345
64,4,2,5.039125,2.0,9.0,1.22,1.7617308369512028,0.9891277132036764,2.858282792526906,1.8160823876951744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999994888499
65,4,2,5.089625,2.0,10.0,1.2,1.6865683273898489,0.964252513931204,2.708326351703127,1.7211546315595474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999994897039
66,9,2,5.130375,2.0,9.0,1.18,1.6235991101046643,0.9237219536278155,2.6261250471732556,1.6343366413012488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999994448231
67,2,2,5.2945,2.0,10.0,1.16,1.576841948507465,0.9149424149215896,2.52420906185449,1.5594921458441326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999993526945
