day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper
57,2.43982330166632,1.6374694742738636,3.4953332807514697,1.0,0.979320742292337,0.9029280448517801,1.0,2.493534223587616,1.6617557831477305,3.5588273201061376
58,2.1612208909947452,1.4239033090278068,3.119861495441407,1.0,0.9814050854920817,0.9059266570132241,1.0,2.2042401376534726,1.451637255272624,3.2026475438707127
59,1.8939648727267295,1.238986058407006,2.752729224379887,1.0,0.9830272941530138,0.9076636226451136,1.0,1.9279171262557508,1.2555903816587213,2.792167620647104
60,1.5368379828558356,1.001894305280343,2.232645922154527,1.0,0.9845069856846091,0.9110951825127309,1.0,1.5619659516108382,1.0135440733458583,2.2704581449760424
61,1.3630696392125814,0.8752664218546263,1.993718778075281,1.0,0.9857922856787396,0.9141820624614533,1.0,1.3834441051856665,0.8855379878609262,2.015523991044949
62,1.3541149759906184,0.8716253941978312,1.9727435917505936,1.0,0.9873139170505101,0.9172671655749874,1.0,1.3723342044767244,0.8828681832275351,1.9991457243587438
63,1.2161581626599505,0.8010083957650159,1.7904381815885926,1.0,0.9881766410064243,0.9208305324688615,1.0,1.2313551820796693,0.8066727183385055,1.8117646342254559
64,1.1991104963177546,0.7964653050639403,1.70240137616574,1.0,0.9887779337514788,0.9212259910734749,1.0,1.2131729922487071,0.8077825259110767,1.7239447075537215
65,1.2376254332535697,0.8245852501931,1.7791087979083529,1.0,0.9892520646781329,0.9228891132471237,1.0,1.2516232437014523,0.8324206244095241,1.7984716218754608
66,1.4504503028288471,0.9829572014930308,2.0829769831962475,1.0,0.9894701392145642,0.9246328914357276,1.0,1.4664664053579746,0.9911628325519757,2.1105052594083094
67,1.5681596644264895,1.079807608411278,2.2036560481030363,1.0,0.9892064143936641,0.9252378357929743,1.0,1.5859063667009135,1.089354921408639,2.228318161944847
68,1.6566063688379709,1.1465822328620388,2.274293017612957,1.0,0.9884443271272214,0.9216797505979617,1.0,1.6769276829911577,1.1591835070329608,2.3257295979191963
69,1.749839742484555,1.2168450491268765,2.403916863272113,1.0,0.9871817646411516,0.9166071163272128,1.0,1.773761089815202,1.2258213473964468,2.459124062942291
70,1.9202812669136782,1.3378010739046184,2.644618914925681,1.0,0.9853991166207758,0.9128137220876832,1.0,1.950220640811004,1.3539317334223944,2.710755885630605
71,2.0772517577927916,1.4725911268833511,2.843305198529147,1.0,0.9823187221788728,0.907199270038165,1.0,2.116323922821748,1.4950229358262264,2.905877690303449
72,2.0713924938515533,1.4302016387290966,2.8478797354707717,1.0,0.9776724443669452,0.8983482805328203,1.0,2.12080666104224,1.4673108008604152,2.9329116270216917
73,1.8817731102917383,1.314839182853379,2.5764346654917754,1.0,0.9709475305733677,0.88957039195366,1.0,1.9399957325402029,1.3450073150735262,2.657015388967126
74,1.809821262633123,1.2679355135726935,2.472718448604413,1.0,0.9624522163810321,0.8764314106355305,1.0,1.8832090501131429,1.3087737497844079,2.602162906796089
75,1.5554561247895873,1.086058496056133,2.131284174732334,1.0,0.9507363717106277,0.8604652741874012,1.0,1.6389680444429886,1.1372664154927628,2.2839465011763873
76,1.6326887257545322,1.110169768514463,2.269333562909301,1.0,0.9369656431139256,0.8443477853463554,0.9999999999999999,1.746132838640367,1.179422611085573,2.4571056111735965
77,1.3845135387546728,0.97018304664674,1.9041475177647242,1.0,0.9199882787075326,0.8247972534287848,0.9999999878279111,1.5083486050499229,1.0456468117416646,2.106084987741783
78,1.0727248499742825,0.7320079486287171,1.509155541789806,1.0,0.9003976905440689,0.8051792651830753,0.99315509959689,1.1945481642351805,0.8021184667372863,1.6937162031159994
79,0.8822162330262602,0.5981022533165956,1.2423014089487925,1.0,0.8785218032392731,0.7832926336220978,0.9725663012142622,1.0068660294465546,0.673291880638744,1.448812844530503
80,0.7788458304165895,0.5251315159954958,1.1002914486367064,1.0,0.8549184682410292,0.759863879753482,0.9492144419050917,0.9135638102765429,0.6071102033529009,1.3002983686898555
81,0.781090414965644,0.520330892844514,1.111636171537423,1.0,0.8309030281731973,0.7378950318111563,0.9226807858133572,0.9428153348310228,0.6198880247905261,1.3526925715810314
82,0.8403010774401936,0.5696204869991589,1.1829466503295976,1.0,0.8057593861986058,0.7152623488730022,0.8954950995991786,1.045837792338491,0.7058819533941072,1.4929701141353364
83,0.897491913153689,0.6073930454218966,1.2565135022879441,1.0,0.7783422710417758,0.687708501692566,0.8682498007225758,1.156964584083239,0.7756079834529794,1.6426200633091896
