temperature,suitability
27.7,0.806192762840385
27.8,0.78836027812438
27.9,0.769702135204073
28,0.750438168563155
28.1,0.730244476707271
28.2,0.709975930140292
28.3,0.68882080530865
28.4,0.666503601565145
28.5,0.644973020694618
28.6,0.621361332515285
28.7,0.598579599063246
28.8,0.574842687417434
28.9,0.550499564599754
29,0.525842158189292
29.1,0.501363005737332
29.2,0.475968274800278
29.3,0.450762324002645
29.4,0.425916355269359
29.5,0.400621986365938
29.6,0.375594440747872
29.7,0.350377514272121
29.8,0.325593888749769
29.9,0.301178950355189
30,0.277103690305621
30.1,0.253322425466528
30.2,0.230063593616909
30.3,0.206879288620555
30.4,0.184291851984482
30.5,0.161951958750499
30.6,0.140525064078859
30.7,0.120218909948659
30.8,0.100350546549833
30.9,0.0809502470650496
31,0.0636091976665368
31.1,0.0478468065018636
31.2,0.0329977180732575
31.3,0.0200589727939359
31.4,0.00930265448801175
31.5,0.00195908206128442
31.6,0
31.7,0
31.8,0
31.9,0
32,0
32.1,0
32.2,0
32.3,0
32.4,0
32.5,0
32.6,0
32.7,0
32.8,0
32.9,0
33,0
33.1,0
33.2,0
33.3,0
33.4,0
33.5,0
33.6,0
33.7,0
33.8,0
33.9,0
34,0
34.1,0
34.2,0
34.3,0
34.4,0
34.5,0
34.6,0
34.7,0
34.8,0
34.9,0
35,0
35.1,0
35.2,0
35.3,0
35.4,0
35.5,0
35.6,0
35.7,0
35.8,0
35.9,0
36,0
36.1,0
36.2,0
36.3,0
36.4,0
36.5,0
36.6,0
36.7,0
36.8,0
36.9,0
37,0
37.1,0
37.2,0
37.3,0
37.4,0
37.5,0
37.6,0
37.7,0
37.8,0
37.9,0
38,0
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0
38.6,0
38.7,0
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
39.4,0
39.5,0
39.6,0
39.7,0
39.8,0
39.9,0
40,0
40.1,0
40.2,0
40.3,0
40.4,0
40.5,0
40.6,0
40.7,0
40.8,0
40.9,0
41,0
41.1,0
41.2,0
41.3,0
41.4,0
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,0
42.3,0
42.4,0
42.5,0
42.6,0
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,0
43.5,0
43.6,0
43.7,0
43.8,0
43.9,0
44,0
44.1,0
44.2,0
44.3,0
44.4,0
44.5,0
44.6,0
44.7,0
44.8,0
44.9,0
45,0
